id,name
49,eclipse@szurszewski.com
36,pde-ui-inbox@eclipse.org
30,eclipse@skyluc.org
54,platform-debug-inbox@eclipse.org
56,Darin_Wright@ca.ibm.com
24,kent_johnson@ca.ibm.com
29,platform-text-inbox@eclipse.org
13212,platform-cvs-inbox@eclipse.org
20,kai-uwe_maetzel@ch.ibm.com
9957,platform-cvs-inbox@eclipse.org
35,Carolyn_MacLeod@ca.ibm.com
11,jdt-core-inbox@eclipse.org
32,pde-build-inbox@eclipse.org
469,Darin_Wright@ca.ibm.com
39,platform-ua-inbox@eclipse.org
31,kent_johnson@ca.ibm.com
52,Kevin_McGuire@ca.ibm.com
47,platform-releng-inbox@eclipse.org
57,Platform-UI-Inbox@eclipse.org
62,jdt-core-inbox@eclipse.org
15,jdt-core-inbox@eclipse.org
25,Platform-UI-Inbox@eclipse.org
38,mvm@ca.ibm.com
7919,platform-swt-inbox@eclipse.org
14,Kevin_McGuire@ca.ibm.com
22,Mike_Wilson@oti.com
28,Darin_Wright@oti.com
13,jarthana@in.ibm.com
48,jdt-core-inbox@eclipse.org
59,erich_gamma@ch.ibm.com
60,philippe_mulet@fr.ibm.com
8,philippe_mulet@fr.ibm.com
21,platform-swt-inbox@eclipse.org
12,jdt-doc-inbox@eclipse.org
66,Platform-UI-Inbox@eclipse.org
34,Platform-UI-Inbox@eclipse.org
15119,Kevin_Haaland@ca.ibm.com
51,platform-ua-inbox@eclipse.org
55,Platform-UI-Inbox@eclipse.org
46,dejan@ca.ibm.com
18,Silenio_Quarti@ca.ibm.com
10,pde-ui-inbox@eclipse.org
53,Silenio_Quarti@ca.ibm.com
61,philippe_mulet@fr.ibm.com
41,jerome_lanneluc@fr.ibm.com
23,pde-build-inbox@eclipse.org
37,platform-resources-inbox@eclipse.org
19,erich_gamma@ch.ibm.com
72,Platform-UI-Inbox@eclipse.org
64,platform-swt-inbox@eclipse.org
17,Darin_Wright@ca.ibm.com
45,steve_northover@hotmail.com
68,platform-releng-inbox@eclipse.org
74,Platform-UI-Inbox@eclipse.org
79,DJ_Houghton@oti.com
58,platform-swt-inbox@eclipse.org
83,platform-team-inbox@eclipse.org
1269,John_Wiegand@us.ibm.com
91,Platform-UI-Inbox@eclipse.org
33,birsan@ca.ibm.com
26,Jeff_McAffer@oti.com
96,Brian_Young@oti.com
9,dejan@ca.ibm.com
94,pde-core-inbox@eclipse.org
71,philippe_mulet@fr.ibm.com
101,Darin_Wright@oti.com
75,Mike_Wilson@oti.com
4502,Boris_Bokowski@ca.ibm.com
65,dejan@ca.ibm.com
110,Mike_Wilson@oti.com
112,jdt-ui-inbox@eclipse.org
108,platform-swt-inbox@eclipse.org
115,jdt-core-inbox@eclipse.org
104,platform-vcm-inbox@eclipse.org
128,Kevin_Haaland@oti.com
131,DJ_Houghton@oti.com
40,klicnik@ca.ibm.com
67,konradk@ca.ibm.com
50,platform-debug-inbox@eclipse.org
117,platform-ant-inbox@eclipse.org
102,Platform-UI-Inbox@eclipse.org
141,platform-swt-inbox@eclipse.org
105,jdt-core-inbox@eclipse.org
109,Platform-UI-Inbox@eclipse.org
147,DJ_Houghton@oti.com
151,Philippe_Mulet@oti.com
150,Philippe_Mulet@oti.com
111,Kevin_McGuire@oti.com
153,alain@qnx.com
124,jdt-core-inbox@eclipse.org
34653,malgorzata.tomczyk@pl.ibm.com
86,kmoir@ca.ibm.com
161,Kevin_Haaland@oti.com
